,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU
1999-03-22 00:00:00-05:00,1.0,-0.16984,0.24314,-0.33655,1.0,0.43858,-0.13712,-0.28678,-0.75143
1999-03-23 00:00:00-05:00,1.0,-0.28396,0.23145,-0.20443,1.0,0.24427,0.0182,-0.28833,-0.7172
1999-03-24 00:00:00-05:00,1.0,-0.14056,0.56502,-0.33127,1.0,0.36981,-0.26604,-0.19696,-1.0
1999-03-25 00:00:00-05:00,1.0,-0.14114,0.46414,-0.21082,1.0,-0.09899,0.00708,-0.09145,-0.92882
1999-03-26 00:00:00-05:00,1.0,-0.43041,0.46416,-0.03069,1.0,-0.02211,-0.07979,0.09884,-1.0
1999-03-29 00:00:00-05:00,1.0,-0.25199,0.76137,-0.27134,1.0,0.12303,-0.36114,0.0,-1.0
1999-03-30 00:00:00-05:00,1.0,-0.25585,0.8958,-0.14477,1.0,-0.11579,-0.50059,0.12121,-1.0
1999-03-31 00:00:00-05:00,1.0,-0.23546,0.65573,-0.30469,1.0,0.23883,-0.37257,0.01816,-1.0
1999-04-01 00:00:00-05:00,1.0,-0.34871,0.94686,-0.1224,1.0,0.22468,-0.65624,-0.0442,-1.0
1999-04-05 00:00:00-04:00,1.0,-0.74122,0.80923,-0.22966,1.0,0.52152,-0.60856,0.24869,-1.0
1999-04-06 00:00:00-04:00,1.0,-0.54929,0.82823,-0.76985,1.0,0.80107,-0.64407,0.3339,-1.0
1999-04-07 00:00:00-04:00,1.0,-0.29283,0.90754,-0.8974,1.0,0.87515,-1.0,0.40755,-1.0
1999-04-08 00:00:00-04:00,1.0,-0.3304,0.76982,-0.24252,1.0,0.64439,-1.0,-0.01473,-0.82655
1999-04-09 00:00:00-04:00,1.0,-0.31208,0.64991,0.09378,0.76938,0.20719,-0.69255,0.02966,-0.74528
1999-04-12 00:00:00-04:00,1.0,-0.51192,0.73308,0.05837,0.76247,0.60459,-0.72005,-0.11238,-0.81416
1999-04-13 00:00:00-04:00,1.0,-0.32817,0.57248,0.18383,0.65376,0.28188,-0.39745,-0.32752,-0.63881
1999-04-14 00:00:00-04:00,1.0,-0.18563,0.55352,0.06279,0.60038,0.38441,-0.34006,-0.41527,-0.66015
1999-04-15 00:00:00-04:00,1.0,-0.19303,0.32165,0.35293,-0.24021,0.61463,0.31815,-0.44273,-0.73139
1999-04-16 00:00:00-04:00,0.73666,-0.14449,0.40777,0.24478,-0.34365,0.7509,0.31344,-0.35387,-0.61153
1999-04-19 00:00:00-04:00,0.55857,-0.06806,0.39378,0.16298,-0.09465,0.65925,0.26609,-0.33425,-0.54369
1999-04-20 00:00:00-04:00,0.19202,-0.01751,0.32895,0.23139,-0.17621,0.84789,0.27189,-0.22071,-0.45772
1999-04-21 00:00:00-04:00,0.27004,-0.02832,0.3093,0.27715,-0.10379,0.75382,0.20861,-0.23534,-0.45148
1999-04-22 00:00:00-04:00,0.03673,0.01353,0.27669,0.37996,0.11244,0.73201,0.23135,-0.28788,-0.49484
1999-04-23 00:00:00-04:00,-0.13283,-0.08004,0.43366,0.45396,0.30489,0.56923,0.14496,-0.21763,-0.47621
1999-04-26 00:00:00-04:00,-0.01206,-0.1544,0.36542,0.3068,0.39303,0.50202,0.31196,-0.25119,-0.46158
1999-04-27 00:00:00-04:00,-0.03065,-0.22498,0.31166,0.08625,0.53417,0.65462,0.28048,-0.17485,-0.4367
1999-04-28 00:00:00-04:00,-0.12199,-0.16004,0.41762,0.28623,0.40483,0.57312,0.24231,-0.1921,-0.44999
1999-04-29 00:00:00-04:00,-0.06142,-0.21992,0.37864,0.24455,0.36403,0.46922,0.34744,-0.13867,-0.38388
1999-04-30 00:00:00-04:00,-0.21505,-0.13479,0.40059,0.3124,0.28011,0.43129,0.39255,-0.10547,-0.36164
1999-05-03 00:00:00-04:00,-0.19961,-0.31462,0.43132,0.48831,0.26706,0.55511,0.26448,-0.1009,-0.39117
1999-05-04 00:00:00-04:00,-0.04541,-0.32998,0.3346,0.43213,0.23585,0.62604,0.22149,-0.10589,-0.36884
1999-05-05 00:00:00-04:00,-0.16369,-0.20401,0.30856,0.28812,0.24836,0.79935,0.21781,-0.12258,-0.37192
1999-05-06 00:00:00-04:00,-0.09807,-0.14064,0.20526,0.23311,0.21844,0.59889,0.39842,-0.00767,-0.40774
1999-05-07 00:00:00-04:00,-0.12737,-0.14776,0.20295,0.1321,0.34141,0.59013,0.44886,-0.03284,-0.40748
1999-05-10 00:00:00-04:00,-0.10397,-0.07489,0.22812,0.04814,0.23482,0.58638,0.4892,-0.03599,-0.37181
1999-05-11 00:00:00-04:00,0.003,-0.2622,0.26251,0.05457,0.26807,0.40639,0.51843,0.0563,-0.30708
1999-05-12 00:00:00-04:00,0.00943,-0.28418,0.28629,-0.00781,0.29635,0.43554,0.53857,0.09845,-0.37263
1999-05-13 00:00:00-04:00,-0.028,-0.27732,0.27099,0.02984,0.3207,0.36855,0.47051,0.18001,-0.33528
1999-05-14 00:00:00-04:00,-0.0367,-0.26945,0.32842,0.11267,0.22192,0.33956,0.45851,0.19041,-0.34534
1999-05-17 00:00:00-04:00,-0.03721,-0.24444,0.43089,-0.02279,0.29743,0.25892,0.5292,0.15696,-0.36896
1999-05-18 00:00:00-04:00,-0.20664,-0.1497,0.48028,-0.15752,0.3091,0.30035,0.53452,0.1957,-0.3061
1999-05-19 00:00:00-04:00,0.01685,-0.33965,0.49147,-0.21167,0.26033,0.25946,0.55098,0.23659,-0.26436
1999-05-20 00:00:00-04:00,-0.20561,-0.2916,0.4495,0.07703,0.22607,0.32293,0.47453,0.29504,-0.34789
1999-05-21 00:00:00-04:00,-0.09129,-0.28184,0.42893,-0.10701,0.33463,0.56916,0.19188,0.14918,-0.19365
1999-05-24 00:00:00-04:00,-0.14411,-0.25824,0.62587,-0.2238,0.34959,0.38881,0.26194,0.2797,-0.27974
1999-05-25 00:00:00-04:00,-0.11932,-0.35997,0.56587,-0.38182,0.32593,0.28976,0.40087,0.29667,-0.01799
1999-05-26 00:00:00-04:00,-0.13052,-0.35852,0.56108,-0.53361,0.3021,0.3468,0.325,0.34704,0.14063
1999-05-27 00:00:00-04:00,-0.13239,-0.41558,0.6032,-0.39929,0.27646,0.30583,0.27859,0.34995,0.13322
1999-05-28 00:00:00-04:00,-0.26145,-0.47772,0.55861,-0.53005,0.29447,0.30833,0.49777,0.51822,0.09183
1999-06-01 00:00:00-04:00,-0.36226,-0.47371,0.7154,-0.48509,0.25145,0.67964,0.07764,0.50934,0.0876
1999-06-02 00:00:00-04:00,-0.20139,-0.41052,0.52224,-0.51169,0.28501,0.37256,0.45287,0.3687,0.12222
1999-06-03 00:00:00-04:00,-0.21151,-0.43566,0.61357,-0.64062,0.39006,0.25641,0.4465,0.44158,0.13967
1999-06-04 00:00:00-04:00,-0.04094,-0.39828,0.36088,-0.63106,0.28268,0.56351,0.38584,0.36394,0.11343
1999-06-07 00:00:00-04:00,-0.14934,-0.33966,0.31255,-0.57959,0.28495,0.59524,0.38246,0.41497,0.07842
1999-06-08 00:00:00-04:00,-0.21671,-0.4392,0.37111,-0.52523,0.30463,0.5576,0.42268,0.53326,-0.00814
1999-06-09 00:00:00-04:00,-0.23557,-0.52969,0.41132,-0.60526,0.405,0.68984,0.3346,0.4404,0.08937
1999-06-10 00:00:00-04:00,-0.26206,-0.55514,0.40975,-0.52725,0.41905,0.78383,0.21344,0.37251,0.14586
1999-06-11 00:00:00-04:00,-0.26019,-0.57412,0.31819,-0.54998,0.42414,0.62215,0.43578,0.42181,0.16222
1999-06-14 00:00:00-04:00,-0.37356,-0.6595,0.44374,-0.60843,0.43017,1.0,0.24697,0.40788,0.11273
1999-06-15 00:00:00-04:00,-0.23511,-0.66119,0.42308,-0.57747,0.37183,0.66598,0.29166,0.40197,0.31926
1999-06-16 00:00:00-04:00,-0.22993,-0.63922,0.40005,-0.57008,0.40635,0.73775,0.25701,0.38656,0.25151
1999-06-17 00:00:00-04:00,-0.0795,-0.49909,0.17265,-0.35824,0.29213,0.63354,0.21665,0.32392,0.29794
1999-06-18 00:00:00-04:00,-0.1584,-0.44219,0.16116,-0.25027,0.26636,0.77844,0.20143,0.29634,0.14712
1999-06-21 00:00:00-04:00,-0.19235,-0.40813,0.16631,-0.28791,0.21154,0.80062,0.20372,0.30279,0.2034
1999-06-22 00:00:00-04:00,-0.0562,-0.55878,0.03956,-0.25148,0.15517,0.70945,0.25386,0.40039,0.30803
1999-06-23 00:00:00-04:00,-0.08504,-0.56125,-0.04449,-0.29994,0.19081,0.87934,0.15934,0.27436,0.48686
1999-06-24 00:00:00-04:00,-0.14314,-0.54123,0.06008,-0.29679,0.23139,0.75183,0.13894,0.27967,0.51926
1999-06-25 00:00:00-04:00,-0.06903,-0.42345,0.04,-0.33969,0.07101,0.91349,0.07724,0.24569,0.48474
1999-06-28 00:00:00-04:00,-0.08951,-0.45994,0.05378,-0.31531,0.1167,0.86179,0.16874,0.26947,0.39427
1999-06-29 00:00:00-04:00,-0.00872,-0.50167,-0.06284,-0.25421,0.06955,0.67043,0.33596,0.26688,0.48462
1999-06-30 00:00:00-04:00,-0.0007,-0.33204,0.01737,-0.23671,0.04134,0.60384,0.30511,0.22577,0.37601
1999-07-01 00:00:00-04:00,0.00957,-0.22593,0.10805,-0.33943,-0.04874,0.74009,0.15508,0.25361,0.34771
1999-07-02 00:00:00-04:00,-0.07119,-0.23937,0.16005,-0.3386,-0.0442,0.84042,0.19229,0.33484,0.16575
1999-07-06 00:00:00-04:00,-0.10516,-0.19245,0.008,-0.29429,-0.13311,0.78457,0.34283,0.38287,0.20674
1999-07-07 00:00:00-04:00,-0.05428,-0.27989,0.23026,-0.40466,-0.22058,0.76265,0.2699,0.52848,0.16812
1999-07-08 00:00:00-04:00,-0.04103,-0.48255,0.30777,-0.51225,-0.05011,0.4927,0.19204,0.61982,0.4736
1999-07-09 00:00:00-04:00,0.04236,-0.53295,0.62328,-0.70791,-0.05699,0.26649,-0.06429,0.81177,0.61823
1999-07-12 00:00:00-04:00,0.04876,-0.56865,0.54975,-0.7259,-0.10313,0.24751,0.05088,0.89248,0.60829
1999-07-13 00:00:00-04:00,-0.02086,-0.62299,0.50354,-0.70575,0.03011,0.21896,0.08514,1.0,0.51185
1999-07-14 00:00:00-04:00,0.05958,-0.14238,0.42341,-0.81398,0.04495,0.03665,0.1605,1.0,0.23127
1999-07-15 00:00:00-04:00,0.04501,-0.21484,0.47504,-0.82592,0.00212,0.16316,0.14418,1.0,0.21125
1999-07-16 00:00:00-04:00,0.08652,-0.3418,0.65573,-0.89096,-0.02657,0.24682,0.02138,1.0,0.24888
1999-07-19 00:00:00-04:00,0.11037,-0.42196,0.58062,-0.89596,-0.07657,0.27028,0.0527,1.0,0.38052
1999-07-20 00:00:00-04:00,0.10396,-0.37748,0.73976,-0.90796,-0.24764,0.35858,-0.07336,1.0,0.40415
1999-07-21 00:00:00-04:00,-0.28031,-0.80715,0.83575,-1.0,-0.39775,0.91009,-0.26063,1.0,1.0
1999-07-22 00:00:00-04:00,-0.18483,-0.45325,0.45581,-1.0,-0.25905,0.80869,-0.19144,1.0,0.82406
1999-07-23 00:00:00-04:00,-0.34765,-0.44382,0.18732,-0.96737,-0.05907,1.0,-0.3694,1.0,1.0
1999-07-26 00:00:00-04:00,-0.2062,-0.44386,0.00563,-1.0,0.00027,1.0,-0.35584,1.0,1.0
1999-07-27 00:00:00-04:00,-0.27114,-0.06148,-0.14054,-1.0,-0.05238,1.0,-0.4646,0.99014,1.0
1999-07-28 00:00:00-04:00,-0.35649,-0.25735,-0.24399,-0.90141,0.19035,1.0,-0.43111,1.0,1.0
1999-07-29 00:00:00-04:00,-0.32643,-0.40025,-0.14024,-0.75348,0.3225,0.62487,-0.32698,1.0,1.0
1999-07-30 00:00:00-04:00,-0.24381,-0.58485,0.20096,-0.88908,0.37139,0.71739,-0.572,1.0,1.0
1999-08-02 00:00:00-04:00,0.06267,-0.1535,0.35857,-0.86169,-0.15906,0.12509,-0.37208,1.0,1.0
1999-08-03 00:00:00-04:00,-0.08359,-0.09566,0.22412,-0.87476,0.0461,0.08195,-0.29817,1.0,1.0
1999-08-04 00:00:00-04:00,-0.28152,0.24866,0.38818,-1.0,-0.23467,0.314,-0.43465,1.0,1.0
1999-08-05 00:00:00-04:00,-0.49602,0.32159,0.75292,-0.94675,-0.53,0.04743,-0.14917,1.0,1.0
1999-08-06 00:00:00-04:00,-0.48436,0.05389,1.0,-1.0,-0.92452,0.32723,0.02775,1.0,1.0
1999-08-09 00:00:00-04:00,-0.46892,-0.23968,1.0,-1.0,-0.80991,0.56245,-0.04394,1.0,1.0
1999-08-10 00:00:00-04:00,-0.42486,-0.20904,1.0,-0.99037,-0.5246,0.38467,-0.20225,0.96645,1.0
1999-08-11 00:00:00-04:00,-0.29887,-0.06788,1.0,-1.0,-0.90936,0.49799,-0.12428,0.9024,1.0
1999-08-12 00:00:00-04:00,-0.22683,-0.30527,1.0,-1.0,-0.74953,0.51996,0.06429,0.69738,1.0
1999-08-13 00:00:00-04:00,0.03276,-0.07542,1.0,-1.0,-0.97522,0.22507,0.23349,0.63791,0.92141
1999-08-16 00:00:00-04:00,-0.25901,-0.26544,0.99178,-0.87799,-1.0,0.16818,0.24248,1.0,1.0
1999-08-17 00:00:00-04:00,-0.0857,-0.12012,0.57101,-1.0,-1.0,0.6731,0.07741,1.0,0.88428
1999-08-18 00:00:00-04:00,-0.42675,0.01211,0.67245,-0.54652,-1.0,0.79489,0.06645,1.0,0.42737
1999-08-19 00:00:00-04:00,-0.41386,-0.25049,0.75473,-0.4149,-0.50998,0.56297,-0.02001,1.0,0.29154
1999-08-20 00:00:00-04:00,-0.55467,0.05113,0.5733,-0.91778,-0.36016,0.93562,0.24866,1.0,0.02391
1999-08-23 00:00:00-04:00,-0.2954,0.06136,0.66991,-0.47471,-0.73921,0.79443,0.31481,0.72811,-0.0593
1999-08-24 00:00:00-04:00,-0.4361,0.14886,0.45525,-0.48826,-0.90773,0.96102,0.54334,0.8455,-0.12188
1999-08-25 00:00:00-04:00,-0.58273,0.20233,0.59156,-0.215,-1.0,0.9745,-0.00109,1.0,0.03043
1999-08-26 00:00:00-04:00,-0.59078,0.54603,0.39886,-0.32967,-0.83936,0.77976,-0.09074,1.0,0.1259
1999-08-27 00:00:00-04:00,-0.83151,0.45388,0.22312,-0.28566,-0.82725,0.67974,-0.04577,1.0,0.63345
1999-08-30 00:00:00-04:00,-0.68379,0.19868,0.35526,-0.46732,-0.89896,0.93575,-0.05595,1.0,0.61633
1999-08-31 00:00:00-04:00,-0.75966,0.6733,0.30407,-0.6898,-0.88912,0.68974,0.01818,1.0,0.65329
1999-09-01 00:00:00-04:00,-0.6803,0.60136,0.4775,-0.47852,-0.76671,0.59839,-0.07889,1.0,0.32716
1999-09-02 00:00:00-04:00,-0.66358,0.61937,0.41311,-0.49284,-0.82201,0.63728,0.04765,1.0,0.26102
1999-09-03 00:00:00-04:00,-0.69371,0.86695,0.26152,-0.45071,-0.8268,0.74202,-0.07606,1.0,0.17679
1999-09-07 00:00:00-04:00,-0.64607,0.80433,0.05622,-0.37991,-0.45677,0.39476,0.07299,1.0,0.15445
1999-09-08 00:00:00-04:00,-0.66669,0.79981,0.13701,-0.41419,-0.24375,0.52917,-0.03159,1.0,-0.10976
1999-09-09 00:00:00-04:00,-0.65065,0.88394,0.12826,-0.46901,-0.36441,0.78046,-0.05949,1.0,-0.2491
1999-09-10 00:00:00-04:00,-0.60813,0.78569,0.4855,-0.51025,-0.56661,0.73282,-0.15338,1.0,-0.16564
1999-09-13 00:00:00-04:00,-0.29597,0.63219,0.40794,-0.67333,-0.51779,0.44849,-0.00323,1.0,0.0017
1999-09-14 00:00:00-04:00,-0.3573,0.7301,0.31033,-0.80541,-0.35922,0.25076,0.09362,1.0,0.13713
1999-09-15 00:00:00-04:00,-0.62946,0.76487,0.41134,-0.95221,-0.50768,0.49185,0.17597,1.0,0.24533
1999-09-16 00:00:00-04:00,-0.6108,0.54099,0.3936,-0.93688,-0.79058,0.80546,0.18179,1.0,0.41642
1999-09-17 00:00:00-04:00,-0.80104,0.82795,0.47687,-0.81479,-0.75485,0.64199,-0.04251,1.0,0.46638
1999-09-20 00:00:00-04:00,-0.85469,0.45474,0.32824,-0.63638,-0.1416,0.37583,0.15412,1.0,0.31973
1999-09-21 00:00:00-04:00,-0.75119,0.4789,0.29554,-0.70525,-0.38896,0.62715,0.06156,1.0,0.38226
1999-09-22 00:00:00-04:00,-1.0,0.6568,0.32408,-0.89255,-0.50513,1.0,0.01162,1.0,0.40518
1999-09-23 00:00:00-04:00,-1.0,0.44222,0.31952,-0.91476,-0.7386,1.0,-0.02362,1.0,0.91524
1999-09-24 00:00:00-04:00,-0.93835,0.01801,0.71427,-1.0,-0.62115,1.0,-0.17278,1.0,1.0
1999-09-27 00:00:00-04:00,-1.0,0.17043,0.84676,-1.0,-0.64272,1.0,-0.37448,1.0,1.0
1999-09-28 00:00:00-04:00,-0.97153,-0.01714,0.83782,-1.0,-0.46723,1.0,-0.38191,1.0,1.0
1999-09-29 00:00:00-04:00,-0.92599,-0.00583,0.3631,-1.0,-0.21788,1.0,-0.2134,1.0,1.0
1999-09-30 00:00:00-04:00,-0.92599,-0.00583,0.3631,-1.0,-0.21788,1.0,-0.2134,1.0,1.0
1999-10-01 00:00:00-04:00,-0.92599,-0.00583,0.3631,-1.0,-0.21788,1.0,-0.2134,1.0,1.0
1999-10-04 00:00:00-04:00,-0.92599,-0.00583,0.3631,-1.0,-0.21788,1.0,-0.2134,1.0,1.0
1999-10-05 00:00:00-04:00,-0.92599,-0.00583,0.3631,-1.0,-0.21788,1.0,-0.2134,1.0,1.0
1999-10-06 00:00:00-04:00,-0.92599,-0.00583,0.3631,-1.0,-0.21788,1.0,-0.2134,1.0,1.0
1999-10-07 00:00:00-04:00,-0.92599,-0.00583,0.3631,-1.0,-0.21788,1.0,-0.2134,1.0,1.0
1999-10-08 00:00:00-04:00,-0.92599,-0.00583,0.3631,-1.0,-0.21788,1.0,-0.2134,1.0,1.0
1999-10-11 00:00:00-04:00,-0.92599,-0.00583,0.3631,-1.0,-0.21788,1.0,-0.2134,1.0,1.0
1999-10-12 00:00:00-04:00,-0.92599,-0.00583,0.3631,-1.0,-0.21788,1.0,-0.2134,1.0,1.0
1999-10-13 00:00:00-04:00,0.4964,0.35247,0.27553,-1.0,-1.0,1.0,-0.1444,1.0,0.02
1999-10-14 00:00:00-04:00,0.4964,0.35247,0.27553,-1.0,-1.0,1.0,-0.1444,1.0,0.02
1999-10-15 00:00:00-04:00,0.72811,0.27878,0.48533,-1.0,-1.0,0.04411,-0.13049,1.0,0.59416
1999-10-18 00:00:00-04:00,0.72811,0.27878,0.48533,-1.0,-1.0,0.04411,-0.13049,1.0,0.59416
1999-10-19 00:00:00-04:00,0.72811,0.27878,0.48533,-1.0,-1.0,0.04411,-0.13049,1.0,0.59416
1999-10-20 00:00:00-04:00,0.72811,0.27878,0.48533,-1.0,-1.0,0.04411,-0.13049,1.0,0.59416
1999-10-21 00:00:00-04:00,0.72811,0.27878,0.48533,-1.0,-1.0,0.04411,-0.13049,1.0,0.59416
1999-10-22 00:00:00-04:00,0.72811,0.27878,0.48533,-1.0,-1.0,0.04411,-0.13049,1.0,0.59416
1999-10-25 00:00:00-04:00,1.0,1.0,0.85769,-0.50182,-1.0,0.02419,-0.40271,1.0,-0.97736
1999-10-26 00:00:00-04:00,1.0,0.98183,1.0,-0.48095,-1.0,-0.08333,-0.41756,1.0,-1.0
1999-10-27 00:00:00-04:00,1.0,1.0,0.53941,-0.28759,-0.90419,0.37771,-0.72534,1.0,-1.0
1999-10-28 00:00:00-04:00,1.0,0.9953,-0.15982,0.63639,-1.0,-0.5516,-1.0,1.0,0.07973
1999-10-29 00:00:00-04:00,1.0,0.53042,-0.59564,1.0,0.05786,-1.0,-1.0,1.0,0.00736
1999-11-01 00:00:00-05:00,1.0,0.51764,-0.55994,0.9037,0.62009,-1.0,-1.0,1.0,-0.48149
1999-11-02 00:00:00-05:00,1.0,0.60729,-0.73962,0.28242,0.51272,-1.0,-0.64682,1.0,-0.01599
1999-11-03 00:00:00-05:00,1.0,0.14626,-1.0,0.69444,0.76173,-1.0,-0.5914,1.0,-0.01103
1999-11-04 00:00:00-05:00,1.0,1.0,-1.0,0.33775,0.69675,-1.0,-1.0,1.0,-0.0345
1999-11-05 00:00:00-05:00,1.0,0.43695,-1.0,0.39209,1.0,-1.0,-0.82644,1.0,-0.0026
1999-11-08 00:00:00-05:00,1.0,0.6111,-1.0,0.48824,0.68722,-1.0,-0.86739,1.0,0.08083
1999-11-09 00:00:00-05:00,0.48371,0.51536,-0.95592,0.55515,0.81365,-1.0,-0.85466,1.0,0.44271
1999-11-10 00:00:00-05:00,1.0,0.50591,-0.59949,-0.05362,0.87626,-1.0,-0.90294,1.0,0.17388
1999-11-11 00:00:00-05:00,0.88807,0.5002,-0.18726,-0.20269,0.15222,-1.0,-0.44255,1.0,0.29201
